"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected"
"Ligue 1","M","FRA",2025,"vs Angers","opponent",30,34,53,478,186,38.9,14.06,5.47,0.1,0.26,16.9,9,4,5,57.8,53.9,0.12,-4.8,-4.9
"Ligue 1","M","FRA",2025,"vs Auxerre","opponent",29,34,48,445,165,37.1,13.09,4.85,0.09,0.25,16.5,17,6,8,58.6,52.3,0.12,-10.6,-10.3
"Ligue 1","M","FRA",2025,"vs Brest","opponent",30,34,57,404,132,32.7,11.88,3.88,0.12,0.37,15.8,8,8,10,57.4,50,0.13,-0.4,-1
"Ligue 1","M","FRA",2025,"vs Le Havre","opponent",31,34,70,482,169,35.1,14.18,4.97,0.13,0.38,16.4,8,5,6,62.8,58.5,0.13,7.2,6.5
"Ligue 1","M","FRA",2025,"vs Lens","opponent",33,34,39,369,133,36,10.85,3.91,0.08,0.23,17.2,12,8,9,45.3,38.3,0.11,-6.3,-7.3
"Ligue 1","M","FRA",2025,"vs Lille","opponent",27,34,35,333,122,36.6,9.79,3.59,0.09,0.25,16.3,10,4,4,42.5,39.4,0.12,-7.5,-8.4
"Ligue 1","M","FRA",2025,"vs Lyon","opponent",31,34,46,447,163,36.5,13.15,4.79,0.1,0.26,18.1,17,3,3,45.7,43.3,0.1,0.3,-0.3
"Ligue 1","M","FRA",2025,"vs Marseille","opponent",32,34,45,320,129,40.3,9.41,3.79,0.13,0.33,17,11,3,6,45.2,40.9,0.13,-0.2,1.1
"Ligue 1","M","FRA",2025,"vs Monaco","opponent",28,34,41,333,125,37.5,9.79,3.68,0.11,0.3,18.2,5,3,3,34.8,32.7,0.1,6.2,5.3
"Ligue 1","M","FRA",2025,"vs Montpellier","opponent",35,34,76,523,185,35.4,15.38,5.44,0.13,0.37,16.3,15,8,9,63.3,56.1,0.11,12.7,11.9
"Ligue 1","M","FRA",2025,"vs Nantes","opponent",30,34,49,419,141,33.7,12.32,4.15,0.1,0.3,16.2,8,7,8,55.5,49.3,0.12,-6.5,-7.3
"Ligue 1","M","FRA",2025,"vs Nice","opponent",31,34,40,456,158,34.6,13.41,4.65,0.08,0.24,17.9,13,2,3,40.2,38,0.09,-0.2,0
"Ligue 1","M","FRA",2025,"vs Paris S-G","opponent",28,34,34,309,100,32.4,9.09,2.94,0.1,0.31,17.6,6,3,3,31.2,29,0.1,2.8,2
"Ligue 1","M","FRA",2025,"vs Reims","opponent",34,34,47,496,174,35.1,14.59,5.12,0.09,0.25,16.7,9,4,5,57.4,53.5,0.11,-10.4,-10.5
"Ligue 1","M","FRA",2025,"vs Rennes","opponent",35,34,48,370,132,35.7,10.88,3.88,0.12,0.34,16.6,8,3,6,46,41.4,0.11,2,3.6
"Ligue 1","M","FRA",2025,"vs Saint-Étienne","opponent",32,34,75,536,194,36.2,15.76,5.71,0.12,0.32,15.7,12,13,15,74.3,62.3,0.12,0.7,-0.3
"Ligue 1","M","FRA",2025,"vs Strasbourg","opponent",30,34,42,448,160,35.7,13.18,4.71,0.08,0.21,16.7,9,8,9,56.1,49.3,0.11,-14.1,-15.3
"Ligue 1","M","FRA",2025,"vs Toulouse","opponent",27,34,40,347,106,30.5,10.21,3.12,0.11,0.37,17.6,11,1,2,36.8,35.2,0.1,3.2,3.8
"Fußball-Bundesliga","M","GER",2025,"Augsburg","team",29,34,35,397,114,28.7,11.68,3.35,0.09,0.3,17.4,10,1,2,34.7,33.1,0.08,0.3,0.9
"Fußball-Bundesliga","M","GER",2025,"Bayern Munich","team",29,34,96,636,255,40.1,18.71,7.5,0.14,0.34,16.7,19,9,10,81.7,74,0.12,14.3,13
"Fußball-Bundesliga","M","GER",2025,"Bochum","team",27,34,32,433,133,30.7,12.74,3.91,0.07,0.23,17.7,11,1,3,41.8,39.3,0.09,-9.8,-8.3
"Fußball-Bundesliga","M","GER",2025,"Dortmund","team",28,34,69,478,157,32.8,14.06,4.62,0.13,0.41,16.1,9,5,6,61.2,56.5,0.12,7.8,7.5
"Fußball-Bundesliga","M","GER",2025,"Eint Frankfurt","team",26,34,68,480,172,35.8,14.12,5.06,0.14,0.38,16.4,13,3,5,65.1,61.4,0.13,2.9,3.6
"Fußball-Bundesliga","M","GER",2025,"Freiburg","team",26,34,46,405,132,32.6,11.91,3.88,0.11,0.35,16.9,16,0,4,44.3,41.1,0.11,1.7,4.9
"Fußball-Bundesliga","M","GER",2025,"Gladbach","team",26,34,53,413,153,37,12.15,4.5,0.12,0.32,16.4,5,4,5,50.6,46.6,0.11,2.4,2.4
"Fußball-Bundesliga","M","GER",2025,"Heidenheim","team",27,34,37,398,124,31.2,11.71,3.65,0.08,0.26,17.3,12,5,5,40.3,36.3,0.09,-3.3,-4.3
"Fußball-Bundesliga","M","GER",2025,"Hoffenheim","team",35,34,46,440,148,33.6,12.94,4.35,0.1,0.29,17.7,11,3,3,42.6,40.3,0.09,3.4,2.7
"Fußball-Bundesliga","M","GER",2025,"Holstein Kiel","team",27,34,49,368,133,36.1,10.82,3.91,0.12,0.34,17.8,12,4,5,39.8,35.9,0.1,9.2,9.1
"Fußball-Bundesliga","M","GER",2025,"Leverkusen","team",23,34,70,499,181,36.3,14.68,5.32,0.13,0.37,16.8,12,3,6,56.9,52,0.11,13.1,15
"Fußball-Bundesliga","M","GER",2025,"Mainz 05","team",25,34,53,417,142,34.1,12.26,4.18,0.12,0.35,16.3,11,4,4,50.1,47,0.12,2.9,2
"Fußball-Bundesliga","M","GER",2025,"RB Leipzig","team",29,34,51,405,144,35.6,11.91,4.24,0.12,0.33,16.7,11,3,4,46.6,43.4,0.11,4.4,4.6
"Fußball-Bundesliga","M","GER",2025,"St. Pauli","team",28,34,26,377,109,28.9,11.09,3.21,0.07,0.23,17.4,14,1,2,35.3,33.7,0.09,-9.3,-8.7
"Fußball-Bundesliga","M","GER",2025,"Stuttgart","team",29,34,61,465,172,37,13.68,5.06,0.13,0.34,15.7,9,2,6,62.3,57.7,0.13,-1.3,1.3
"Fußball-Bundesliga","M","GER",2025,"Union Berlin","team",28,34,36,414,120,29,12.18,3.53,0.08,0.28,16.6,7,3,3,37,34.7,0.08,-1,-1.7
"Fußball-Bundesliga","M","GER",2025,"Werder Bremen","team",23,34,53,424,138,32.5,12.47,4.06,0.12,0.36,16,12,3,5,49.1,45.7,0.11,3.9,4.3
"Fußball-Bundesliga","M","GER",2025,"Wolfsburg","team",27,34,53,432,137,31.7,12.71,4.03,0.11,0.36,17.3,13,4,5,47.5,43.4,0.1,5.5,5.6
"Fußball-Bundesliga","M","GER",2025,"vs Augsburg","opponent",29,34,49,447,151,33.8,13.15,4.44,0.1,0.29,16.7,13,5,5,48.9,45,0.1,0.1,-1
"Fußball-Bundesliga","M","GER",2025,"vs Bayern Munich","opponent",29,34,32,229,79,34.5,6.74,2.32,0.14,0.39,17.3,3,1,2,25.5,24,0.11,6.5,7
"Fußball-Bundesliga","M","GER",2025,"vs Bochum","opponent",27,34,68,481,148,30.8,14.15,4.35,0.14,0.44,16.3,16,3,6,63.2,58.2,0.12,4.8,6.8
